company_id,Company_Name,Founded,Type_of_ownership,Size_employee,Industry_id
61,Decision Resources Group,1990,Subsidiary or Business Segment,5000,15
62,"NTT DATA, Inc.",-1,Company - Private,500,18
63,Columbia University,1938,College / University,10000,23
64,Cactus Holdings,2002,Company - Private,5000,5
65,Cuny Research Foundation,1963,Nonprofit Organization,10000,23
66,Amazon,1994,Company - Public,10000,3
67,Mount Sinai Health System,2013,Hospital,10000,2
68,"Halcyon Solutions, Inc.",1992,Company - Private,200,15
69,Roman,-1,Company - Private,500,14
70,COOLSOFT,-1,Company - Private,200,21
71,451 Research,2000,Company - Private,500,5
72,Amenity Analytics,2015,Company - Private,200,24
73,APCO Worldwide,1984,Company - Private,1000,19
74,Softcom Systems,-1,Company - Private,50,15
75,UBS,1862,Company - Public,10000,4
76,NBCUniversal,1906,Company - Public,10000,17
77,Green Key Resources,2004,Company - Private,500,12
78,22nd Century Technologies,1997,Company - Private,5000,15
79,Metropolitan Council on Jewish Poverty,-1,Nonprofit Organization,500,1
80,"Take-Two Interactive Software, Inc.",1993,Company - Public,5000,25
81,Morgan Stanley,1935,Company - Public,10000,4
82,ICAP at Columbia University,2003,Nonprofit Organization,1000,2
83,Columbia University Medical Center,-1,Hospital,10000,2
84,Xoriant Corporation,1990,Company - Private,5000,15
85,Montefiore Medical,1884,Nonprofit Organization,10000,2
86,ACS,-1,Company - Private,50,26
87,VISTRADA,-1,Company - Private,50,8
88,Disney Streaming Services,2018,Company - Private,1000,3
89,Royal Communications Consultants Inc,-1,Company - Private,50,15
90,CASES,1989,Nonprofit Organization,500,1
91,Earnest Research,2012,Company - Private,200,5
92,Phyton Talent Advisors,-1,Company - Private,50,14
93,Source of Future Technology Inc,1981,Company - Private,50,11
94,Brink's,1859,Company - Public,10000,27
95,TechProjects,2011,Company - Private,50,15
96,RMS Computer Corporation,1985,Company - Private,500,11
97,2U,2008,Company - Public,5000,24
98,Mount Sinai Medical Center,1946,Nonprofit Organization,5000,2
99,Brown Brothers Harriman,1818,Company - Private,5000,4
100,NYC Health + Hospitals,-1,Company - Public,10000,2
101,Horizon Blue Cross Blue Shield of New Jersey,1932,Nonprofit Organization,5000,20
102,Walt Disney Company,1923,Company - Public,10000,13
103,Roar Digital,2018,Company - Private,200,22
104,The Bank of New York Mellon,1784,Company - Public,10000,4
105,"Nesco Resource, LLC",1956,Company - Private,5000,12
106,Museum of Ice Cream,-1,Company - Private,500,14
107,APN Consulting,-1,Company - Private,50,8
108,Siri InfoSolutions,-1,Company - Private,200,19
109,Icahn School of Medicine at Mount Sinai,-1,Nonprofit Organization,5000,14
110,Avani Technology Solutions,2008,Company - Private,1000,15
111,Altech Star Inc.,-1,Company - Private,50,11
112,V R Della Infotech Inc,2012,Company - Private,200,12
113,New York Times,1896,Company - Public,5000,28
114,Blue Rock Consulting,-1,Company - Public,50,14
115,SMBC,-1,Company - Public,,14
116,Informa Intelligence,1998,Company - Public,5000,19
117,Integra Managed Care,-1,Subsidiary or Business Segment,1000,2
118,RMS Computer,1985,Company - Private,500,11
119,Healthfirst,1993,Nonprofit Organization,5000,20
120,SAT Healthcare,2002,Company - Private,500,2
121,American CyberSystems,1998,Company - Private,10000,15
122,M&T Bank Corporation,1856,Company - Public,10000,10
123,Oracle,1977,Company - Public,10000,24
124,CMI/Compas,1989,Company - Private,1000,8
125,AbleTo,2008,Company - Private,200,2
126,Eagle Investment Systems,1989,Subsidiary or Business Segment,1000,4
127,Hikma Pharmaceuticals,1978,Company - Public,10000,29
128,SMBC Group,1996,Company - Public,10000,4
129,VNA Health Group,1912,Nonprofit Organization,5000,1
130,Rockstar Games,1998,Subsidiary or Business Segment,5000,25
131,Hexacorp,2001,Company - Private,200,15
132,Informa,1998,Company - Public,10000,30
133,Momentum Solar,2009,Company - Private,1000,31
134,VIVA USA INC,1996,Company - Private,200,15
135,J.P. Morgan,1799,Company - Public,10000,4
136,Saratoga Medical Center,1985,Company - Private,500,2
137,"Competent Systems, Inc",2003,Company - Private,500,24
138,Peloton Interactive,2012,Company - Public,5000,21
139,Genpact,1997,Company - Public,10000,15
140,EmblemHealth,1937,Nonprofit Organization,5000,20
141,Jackson Hewitt,1982,Company - Private,500,32
142,National Kidney Foundation,1964,Nonprofit Organization,200,33
143,CheckedUp,-1,Company - Private,50,14
144,Tekfortune Inc.,-1,Company - Private,50,15
145,"Intercontinental Exchange, Inc.",2000,Company - Public,5000,4
146,"8K Miles Software Services, Inc.",2008,Company - Public,500,11
147,VTS,2011,Company - Private,500,24
148,Robert Half,1948,Company - Public,10000,12
149,Quest Diagnostics,1967,Company - Public,10000,2
150,Creative Data Resources,1992,Company - Private,50,12
151,EVERSANA,2018,Company - Private,5000,29
152,National Grid USA,1990,Company - Public,10000,34
153,Barnabas Health,-1,Company - Public,1000,14
154,Aegis Media,1978,Subsidiary or Business Segment,5000,8
155,Altice USA,-1,Company - Public,10000,14
156,Sumitomo Mitsui Banking Corporation (SMBC),1996,Company - Public,10000,4
157,Geller & Company,1984,Company - Private,1000,4
158,Plymouth Rock Assurance,1982,Company - Private,5000,20
159,Metroplus Health Plan,1985,Nonprofit Organization,5000,2
160,Primesoft,-1,Company - Private,50,15
161,Systemart LLC,-1,Company - Private,50,11
162,ITech Recruiting,-1,Company - Public,200,14
163,RN Staff,-1,Unknown,,12
164,Abacus Service Corporation,2004,Company - Private,1000,12
165,CyberCoders,1999,Subsidiary or Business Segment,500,12
166,TECHNOCRAFT Solutions,-1,Company - Private,50,8
167,RWJBarnabas Health,1982,Nonprofit Organization,10000,2
168,MVP Consulting Plus Inc,-1,Company - Private,500,35
169,Capgemini,1967,Company - Public,10000,24
170,Centers Plan for Healthy Living,-1,Company - Private,1000,2
171,BNY Mellon,1784,Company - Public,10000,4
172,Norgate Technology Inc,1993,Company - Private,200,12
173,HomeBridge Financial Services,1989,Company - Private,5000,9
174,"Avacend, Inc.",-1,Company - Private,200,12
175,Care Design New York,2018,Nonprofit Organization,5000,2
176,HCL Global Systems,-1,Company - Private,10000,19
177,Abnormal Security,2018,Company - Private,200,24
178,Akraya Inc.,2001,Company - Private,200,12
179,Goldman Sachs,1869,Company - Public,10000,4
180,Idexcel Inc.,1998,Company - Private,1000,15
181,SPECTRAFORCE TECHNOLOGIES Inc.,2000,Company - Private,1000,12
182,Easton Technical Products,-1,Company - Private,500,35
183,CIVICA INC,-1,Company - Private,50,14
184,ENERBANK USA,-1,Company - Public,50,14
185,Vimerse,2011,Company - Private,200,14
186,"Janus International Group, LLC",2001,Company - Private,1000,36
187,ClientSolv Technologies,1994,Company - Private,200,15
188,YORKTOWN SYSTEMS GROUP INC,-1,Company - Private,1000,19
189,Connor Group,2006,Company - Private,500,18
190,Vivint Solar,2011,Company - Public,5000,31
191,"VED Software Services, Inc.",1995,Company - Private,200,15
192,TCOE,-1,School / School District,50,37
193,"Public Health Foundation Enterprises, In",1968,Nonprofit Organization,5000,1
194,USfalcon,1984,Company - Private,500,38
195,Patient Advocate Foundation,1996,Nonprofit Organization,200,1
196,"Orbis, Inc.",2000,Company - Private,500,39
197,Smithfield,1936,Subsidiary or Business Segment,10000,40
198,Booz Allen Hamilton,1914,Company - Public,10000,19
199,EVMS,1935,Company - Private,1000,41
200,"Epsilon Systems Solutions, Inc.",1998,Company - Private,1000,42
201,Oasis Systems,1997,Company - Private,5000,15
202,Counter Threat Solutions,2015,Company - Private,200,19
203,ITA International,-1,Company - Public,500,18
204,Liberty Source,2014,Company - Private,200,12
205,"Oasis Systems, LLC",1997,Company - Private,5000,15
206,National Capitol Contracting (NCC),2002,Company - Private,200,43
207,Occam Solutions Inc,-1,Company - Private,50,19
208,Analytical Mechanics Associates,1962,Company - Private,500,19
209,"GStek, Inc.",1992,Company - Private,500,38
210,CBRE,1906,Company - Public,10000,44
211,Guidehouse,2018,Company - Private,10000,19
212,AXSEUM Inc,2002,Company - Private,200,19
213,CACI International,1962,Company - Public,10000,38
214,PROSOFT,-1,Contract,500,15
215,FacilitySource,2001,Company - Public,5000,7
216,Universal Consulting Services,2000,Company - Private,500,15
217,"Universal Consulting Services, Inc.",2000,Company - Private,500,15
218,AvMed Health Plans,1996,Nonprofit Organization,1000,20
219,Shands Jacksonville,1984,Nonprofit Organization,5000,2
220,Stamps.com,1996,Company - Public,5000,11
221,Neustar,1996,Company - Private,5000,3
222,Ruggable,-1,Company - Private,50,14
223,First Professional Services,2018,Subsidiary or Business Segment,200,3
224,Acumen,1996,Company - Private,500,16
225,Dave,2016,Company - Private,50,10
226,Cedars-Sinai,1902,Nonprofit Organization,10000,2
227,Radiology Partners,2012,Company - Private,5000,2
228,Human Good,-1,Company - Private,50,17
229,System1,2013,Company - Private,500,3
230,Hulu,2007,Company - Private,5000,17
231,University of Southern California,1880,College / University,10000,23
232,Delmarva Foundation,1973,Nonprofit Organization,1000,19
233,LiveGlam,2016,Company - Private,200,21
234,Warner Bros. Entertainment,1923,Company - Public,10000,13
235,Electronic Arts,1982,Company - Public,10000,25
236,Capital Group,1931,Company - Private,10000,4
237,Turner Broadcasting,2003,Subsidiary or Business Segment,10000,17
238,AIDS Healthcare Foundation,1987,Nonprofit Organization,5000,2
239,LACERA,1938,Government,500,4
240,LEAPROS,-1,Company - Private,50,14
241,Tripalink,2016,Company - Public,50,44
242,"Netflix, Inc.",1997,Company - Public,5000,3
243,UC Davis Medical Center,-1,Nonprofit Organization,10000,2
244,Internet Brands,1998,Company - Private,5000,3
245,UCLA Health,1919,Company - Public,10000,2
246,Activision Blizzard,1979,Company - Public,10000,25
247,The Loot Company,2012,Company - Private,500,32
248,Kaiser Permanente,1945,Nonprofit Organization,10000,2
249,ZS Associates,1983,Company - Private,10000,19
250,City National Bank,1954,Subsidiary or Business Segment,5000,10
251,Cypress HCM,2005,Company - Private,200,12
252,"Internet Brands, Inc.",1998,Company - Private,5000,3
253,"Apollo Medical Holdings, Inc.",-1,Company - Private,50,14
254,Molina Healthcare,1980,Company - Public,10000,20
255,Beautycounter,2013,Company - Private,500,21
256,Genuent,2006,Company - Private,500,12
257,The Wonderful Company LLC,1980,Company - Private,10000,35
258,TikTok,2016,Company - Private,5000,3
259,MotorTrend Group,1948,Company - Public,1000,17
260,Mercury Insurance Group,1961,Company - Public,5000,20
261,Ajilon,1994,Company - Public,5000,12
262,WB Technology,-1,Company - Private,,14
263,Prosum,1996,Company - Private,500,15
264,INSPIRE IT Solutions,-1,Company - Private,50,14
265,"Prime MSO, LLC.",-1,Company - Private,50,2
266,KORE1 Technologies,2005,Company - Private,200,12
267,Pddn,-1,Company - Private,200,21
268,Northrop Grumman,1939,Company - Public,10000,38
269,"Aviana Global Technologies, Inc",1994,Company - Private,50,15
270,Jam City,2010,Company - Private,1000,25
271,Apple,1976,Company - Public,10000,11
272,"EMINENT, INC.",-1,Company - Private,50,15
273,"Leo Tech, LLC",-1,Company - Private,200,14
274,"U.S. Auto Parts Network, Inc.",1995,Company - Public,5000,45
275,MyLife.com,2002,Company - Private,50,3
276,Center for Family Health and Education,-1,Company - Public,50,14
277,Tech Air,1935,Company - Private,500,36
278,Network Medical Management Inc,1994,Company - Public,1000,2
279,Midcom,1979,Company - Private,200,19
280,Odesus,2001,Company - Private,200,19
281,Login Consulting Services,-1,Company - Private,200,19
282,Blue Shield of California,1939,Nonprofit Organization,10000,20
283,Airgas,1982,Company - Public,10000,46
284,Revolve,2003,Company - Public,500,47
285,Georgia IT Inc.,-1,Company - Private,50,14
286,KIPP SoCal Public Schools,2003,Nonprofit Organization,5000,48
287,SCAN Health Plan,1977,Nonprofit Organization,1000,20
288,"Quinn Group, Inc.",1919,Company - Private,1000,42
289,Pacific Clinics,1926,Nonprofit Organization,1000,2
290,Quinn Group,-1,Company - Private,200,14
291,NRC INC,-1,Company - Private,200,14
292,LaBine & Associates,2013,Company - Private,50,12
293,Quinn Company CAT,1919,Company - Private,1000,42
294,AppleOne,1964,Company - Private,5000,12
295,Information Technology Partners,1991,Company - Private,200,15
296,Providence Health & Services,1855,Nonprofit Organization,10000,2
297,USDM Life Sciences,1999,Company - Private,500,19
298,SkillsetGroup - Professional Staffing Solutions,2013,Company - Private,50,12
299,PIH Health,1959,Nonprofit Organization,10000,2
300,Centric Consulting,1999,Company - Private,1000,19
301,Kelly,1946,Company - Public,10000,12
302,Mike's Hard Lemonade,1999,Company - Private,500,40
303,Allscripts,1986,Company - Public,10000,11
304,Circle Logistics,2011,Company - Private,500,49
305,Mondo,2000,Company - Private,200,12
306,Swoon,2010,Company - Private,500,12
307,Bosch Group,1886,Company - Private,10000,50
308,Tempus,1999,Company - Private,200,51
309,Robert Bosch Tool Corporation,1971,Subsidiary or Business Segment,5000,35
310,Chicago,1837,Government,10000,52
311,Guggenheim Partners,1999,Private Practice / Firm,5000,4
312,Milliman,1947,Company - Private,5000,19
313,BMO,1882,Subsidiary or Business Segment,10000,10
314,MeadWestVaco,2015,Company - Public,10000,50
315,Lantana Consulting Group,-1,Company - Private,50,19
316,PDI,2007,Unknown,200,14
317,CRS Group,1994,Company - Private,200,12
318,Chicago Public Schools,1883,School / School District,10000,48
319,Tempus Labs,2015,Company - Private,1000,29
320,Braviant Holdings,2014,Company - Private,200,9
321,Rush University Medical Center,1837,Hospital,10000,2
322,Alliant Credit Union,1935,Nonprofit Organization,1000,10
323,University of Chicago,1890,College / University,10000,23
324,PDI Software,1983,Company - Private,1000,24
325,Invenergy,2001,Company - Private,1000,31
326,WIN Home Inspection,-1,Franchise,50,53
327,The Accuro Group,2003,Company - Private,500,12
328,Empire Today,1959,Company - Private,5000,32
329,Sphinix Solutions,-1,Company - Private,50,15
330,BMO Financial Group,1817,Company - Public,10000,10
331,PEAK6 Investments,1997,Company - Private,5000,54
332,ABS Graphics,1982,Company - Private,200,8
333,Willis Towers Watson,1828,Company - Public,10000,19
334,The Chicago Lighthouse,1906,Company - Private,1000,1
335,Genesys Talent,2014,Company - Private,50,12
336,ALERE,2001,Company - Public,10000,29
337,"TreeHouse Foods, Inc.",2005,Company - Public,10000,40
338,NJF Global Holdings,2003,Company - Private,200,12
339,Ongig,2011,Company - Private,50,24
340,Flagstone Foods,-1,Company - Public,1000,55
341,University of Illinois at Chicago,1982,College / University,,23
342,Northern Trust,1889,Company - Public,10000,10
343,Foresight ROI,-1,Company - Private,50,8
344,BankFinancial Corporation,2005,Company - Public,500,10
345,Capital Management,-1,Company - Private,50,4
346,Nuveen,1898,Company - Private,5000,4
347,Maine Pointe,2004,Company - Private,200,19
348,HR Pundits,-1,Company - Private,50,11
349,Softpath System LLC,1999,Company - Private,500,15
350,Trinity Health,1976,Nonprofit Organization,10000,2
351,Motorola Solutions,1928,Company - Public,10000,11
352,Medline Industries,1966,Company - Private,10000,56
353,Signode,1913,Subsidiary or Business Segment,10000,36
354,Cedent Consulting,-1,Company - Private,50,19
355,UI Health,-1,Company - Private,10000,2
356,Jobot,2018,Company - Private,200,12
357,Square One Resources,1995,Company - Private,200,12
358,Esquire Recruiting,2012,Company - Private,50,12
359,Walgreens,1901,Company - Public,10000,57
360,Steiner Electric Co,1916,Company - Private,500,58
361,"Xeris Pharmaceuticals, Inc.",-1,Company - Public,200,29
362,TechUSA,1998,Company - Private,5000,12
363,Metropolitan Family Services,1857,Company - Private,500,59
364,Flexport,2013,Company - Private,5000,60
365,RiverPoint,2013,Company - Private,50,8
366,"Retail Business Services, LLC",-1,Company - Public,5000,61
367,PNC Financial Services Group,1845,Company - Public,10000,10
368,Harris County,1966,Government,10000,2
369,Kelsey-Seybold Medical Group,1949,Private Practice / Firm,5000,2
370,Arthur Lawrence,2003,Company - Private,500,19
371,Rosen,-1,Company - Private,500,62
372,Randstad US,-1,Subsidiary or Business Segment,5000,12
373,"Avetta, LLC",2004,Company - Private,500,24
374,InvenTech Info,2010,Company - Private,500,15
375,National Computing Group,1986,Company - Private,50,15
376,HealthHelp,1999,Subsidiary or Business Segment,500,2
377,Encore Consulting Services,-1,Company - Private,50,14
378,GeoDigital,2005,Company - Private,200,11
379,ForeFlight,-1,Company - Private,200,14
380,ICF,1999,Company - Public,10000,19
381,Corporate,-1,Company - Private,5000,14
382,EAG Services,-1,Company - Private,50,19
383,Sun and Ski Sports,1980,Company - Private,1000,63
384,Wellcare,1985,Company - Public,10000,20
385,Centene Corporation,1984,Company - Public,10000,20
386,Kelsey Seybold Clinic,1949,Private Practice / Firm,5000,2
387,Harris Health System,1966,Government,10000,2
388,Sharpedge Solutions Inc,-1,Company - Private,,30
389,Crown Castle USA Inc,1994,Company - Public,5000,43
390,"Infomerica, Inc",1998,Company - Private,1000,15
391,Servient,2004,Company - Private,200,24
392,Premier Medical Resources,-1,Company - Private,500,14
393,Icon Consultants,1998,Company - Private,5000,12
394,UTHealth Houston,1972,College / University,10000,23
395,The Jupiter Group,-1,Unknown,200,12
396,Crawford Thomas Recruiting,2007,Company - Private,200,12
397,LanceSoft Inc,2000,Company - Private,5000,12
398,"Central Business Solutions, Inc",-1,Company - Private,200,19
399,Professional Enrollment Concepts,2011,Company - Private,50,14
400,Harris County Appraisal District,1980,Government,1000,52
401,Desert Financial Credit Union,1939,Company - Public,5000,10
402,Corbins Electric,1975,Company - Private,1000,53
403,"The Judge Group, Inc.",1970,Company - Private,5000,12
404,ON Semiconductor,1999,Company - Public,10000,64
405,Charles Schwab,1973,Company - Public,10000,4
406,National Education Partners,2019,Company - Private,500,23
407,MUFG,1864,Company - Public,10000,10
408,Arizona State University,1885,College / University,10000,23
409,PK,2004,Company - Private,5000,15
410,"Circle K Stores, Inc.",1951,Company - Public,10000,65
411,Shamrock Foods,1922,Company - Private,5000,40
412,Infotree Service Inc,2004,Company - Private,200,8
413,O'Reilly Automotive,1957,Company - Public,10000,45
414,Uhaul,1945,Company - Public,10000,66
415,Matrix Medical Network,2001,Company - Private,5000,2
416,Kaygen Inc.,-1,Company - Private,50,19
417,Nucleusteq,2018,Company - Private,500,15
418,Strategic Systems,2004,Company - Private,500,15
419,Edupoint,-1,Company - Private,50,24
420,Vanguard,1975,Company - Private,10000,4
421,Envision Healthcare,2005,Company - Private,10000,2
422,Envision Physician Services,-1,Company - Private,10000,14
423,Saviance Technologies,1999,Company - Private,500,15
424,"TekCom Resources, Inc.",2005,Company - Private,200,12
425,Mastech Digital,1986,Company - Public,5000,12
426,Wilco Source,-1,Company - Private,200,14
427,Pegasus Knowledge Solutions,-1,Company - Private,500,18
428,AllianceRx Walgreens Prime,2017,Company - Private,5000,29
429,Signature Consultants,1997,Company - Private,5000,12
430,First American Financial Corporation,1889,Company - Public,10000,20
431,"ICST, LLC",1996,Company - Private,1000,12
432,Stantec,1954,Company - Public,10000,39
433,CSAA Insurance Group,1914,Company - Private,5000,20
434,Crisis Response Network,2007,Nonprofit Organization,200,2
435,InterSources Inc.,2007,Company - Private,200,12
436,GTN Technical Staffing,2000,Company - Private,500,12
437,"AOC Solutions, Inc.",1996,Company - Private,200,11
438,Blue Cross Blue Shield of Arizona,1939,Nonprofit Organization,5000,20
439,TransPerfect,1992,Company - Private,5000,19
440,CVS Health,1963,Company - Public,10000,2
441,ECRI,1968,Nonprofit Organization,500,2
442,United BioSource,2003,Other Organization,5000,29
443,Revantage Corporate Services,2017,Company - Private,500,44
444,"Keen360, Inc.",-1,Company - Private,50,14
445,Gopuff,2013,Company - Private,5000,67
446,IntegriChain,2005,Company - Private,500,15
447,University of Pennsylvania,1740,College / University,10000,23
448,Temple University Health System,-1,Hospital,10000,2
449,JPMorgan Chase & Co.,1799,Company - Public,10000,4
450,Avantor,1904,Company - Public,10000,29
451,Change Healthcare,2007,Company - Public,10000,15
452,Bryn Mawr Communications LLC,-1,Company - Private,50,30
453,ConnectiveRx,2015,Company - Private,5000,29
454,Piper Companies,2011,Company - Private,500,12
455,"Innovative Development, LLC",1992,Company - Private,200,19
456,CHOP,1855,Nonprofit Organization,5000,2
457,"Zachary Piper Solutions, LLC",2011,Company - Private,200,24
458,"PMHCC, Inc.",1987,Nonprofit Organization,1000,2
459,TD Bank,1855,Company - Public,10000,10
460,Boeing,1916,Company - Public,10000,38
461,"Computer Enterprises, Inc.",1992,Company - Private,1000,15
462,Weston Solutions Inc.,1957,Company - Private,5000,62
463,"Numeric, LLC",-1,Company - Private,50,12
464,Community Behavioral Health,1994,Company - Private,500,2
465,APN Software Services Inc.,-1,Company - Private,200,11
466,Versant Health,-1,Company - Private,5000,20
467,Micro-Data Systems Inc.,1992,Company - Private,200,15
468,Tetra Tech,1966,Company - Public,10000,39
469,Freedom Mortgage,1990,Company - Private,5000,4
470,Eastern Airlines LLC,-1,Company - Private,50,14
471,The Judge Group,1970,Company - Private,5000,12
472,amerihealth,1997,Subsidiary or Business Segment,10000,20
473,A2C Consulting,1994,Company - Private,50,19
474,Eurofins,1987,Company - Private,10000,29
475,Cooper University Health Care,1887,Hospital,10000,2
476,Forfeiture Support Associates,2004,Company - Private,5000,12
477,"Management Decisions, Inc.",-1,Company - Public,50,8
478,SRG Woolf,1995,Company - Private,50,12
479,Adaptimmune Ltd,-1,Company - Public,500,29
480,Trillium Solutions Group,2002,Private Practice / Firm,50,15
481,TE Connectivity,2007,Company - Public,10000,64
482,Future Technologies Inc.,-1,Company - Private,5000,18
483,Fox Chase Cancer Center,1974,Nonprofit Organization,5000,2
484,"Technocrafts, Inc.",-1,Company - Private,50,11
485,Principle Auto,2014,Company - Private,1000,41
486,H E B,1905,Company - Private,10000,68
487,"CICONIX, LLC",-1,Company - Private,50,16
488,NJVC,2001,Company - Private,5000,15
489,Randstad,-1,Subsidiary or Business Segment,5000,12
490,Deacon Recruiting,-1,Company - Private,50,12
491,PETCO,1965,Company - Private,10000,69
492,LMI,1961,Nonprofit Organization,5000,19
493,CAMRIS International,2003,Company - Private,500,16
494,General Dynamics Information Technology,1996,Subsidiary or Business Segment,10000,15
495,Chenega Healthcare Services,1974,Subsidiary or Business Segment,1000,12
496,"Cherokee Nation Businesses, LLC",-1,Company - Private,5000,18
497,Spectrum Comm,1999,Company - Private,200,38
498,Peyton Resource Group,2001,Company - Private,50,12
499,CDO Technologies Inc,1995,Company - Private,500,11
500,Strategic Staffing Solutions,1990,Contract,5000,12
501,University of California,1868,College / University,10000,23
502,"BD (Becton, Dickinson and Company)",-1,Company - Private,,14
503,HealthStream,1990,Company - Public,1000,70
504,Sayva Solutions,2014,Company - Private,200,12
505,The Rock Church,-1,Nonprofit Organization,50,14
506,Stem,2009,Company - Private,200,31
507,Illumina,1998,Company - Public,10000,29
508,General Dynamics,1952,Company - Public,10000,38
509,"Dexcom, Inc.",1999,Company - Public,5000,29
510,BD,1897,Company - Public,10000,56
511,UC San Diego,1960,College / University,10000,23
512,Web Shop Manager,2000,Company - Private,50,11
513,Intuit,1983,Company - Public,10000,11
514,University of California - San Diego Medical Centers,1966,Hospital,10000,2
515,Interpreta,-1,Company - Private,50,14
516,"Verity, A HealthStream Company",1985,Subsidiary or Business Segment,500,11
517,Amentum,-1,Company - Public,10000,14
518,Russell Tobin & Associates,2010,Subsidiary or Business Segment,200,12
519,Perspecta,2018,Company - Public,10000,38
520,MedImpact,1989,Company - Private,5000,58
521,Sycuan Casino,1983,Company - Private,5000,22
522,California State University,1962,College / University,10000,23
523,"Sunrise Systems, Inc.",1990,Company - Private,1000,15
524,World Wide Technology,1990,Company - Private,10000,11
525,The Carrera Agency,2002,Company - Private,200,12
526,Kelly IT,-1,Company - Private,1000,12
527,SBG Techology Solutions,2004,Company - Private,200,15
528,Lidl,1994,Company - Private,10000,68
529,Addison Group,1999,Company - Private,1000,12
530,PeopleFun,-1,Company - Private,50,71
531,The Richards Group,1957,Company - Private,1000,8
532,Federal Reserve Bank,1914,Company - Private,5000,72
533,Atos,1919,Company - Public,10000,15
534,Precision,-1,Company - Private,50,14
535,Match Group,1998,Company - Private,5000,8
536,Texas Scottish Rite Hospital for Children,1921,Nonprofit Organization,5000,2
537,Dallas ISD,1867,School / School District,10000,37
538,Dallas Independent School District,1867,School / School District,10000,37
539,Signify Health,2017,Company - Private,1000,2
540,Federal Reserve Bank (FRB),1913,Government,5000,16
541,L&T Infotech,1997,Company - Public,10000,15
542,Federal Reserve Bank of Richmond,1914,Nonprofit Organization,5000,10
543,Atmos Energy Corp.,1906,Company - Public,5000,62
544,Apex Systems,1995,Subsidiary or Business Segment,5000,12
545,RealPage,1998,Company - Public,10000,11
546,Mary Kay,1963,Company - Private,10000,35
547,Apptricity Corporation,1999,Company - Private,200,11
548,PriceSenz,-1,Company - Public,,14
549,MOA,1997,Unknown,200,14
550,NTT DATA,1967,Company - Public,10000,15
551,Mosaic Sales Solutions,1947,Company - Private,10000,8
552,"One Call Claims, LLC",-1,Company - Private,500,20
553,LeadsOnline LLC,-1,Company - Private,50,14
554,PROLIM Global Corporation,2005,Company - Private,500,24
555,ADT,1874,Company - Public,10000,27
